ts_code,symbol,exchange,pre_close,event_close,event_high,event_low,price_change_pct,vol_change_pct,earliest_date,name
002850.SZ,002850,SZ,71.72,74.89,75.47,71.0,4.419966536530956,-21.168172850816596,20170302,科达利
000921.SZ,000921,SZ,15.27,16.07,16.18,15.21,5.239030779305833,12.33399247862484,20170103,海信家电
300027.SZ,300027,SZ,8.55,8.71,8.8,8.53,1.8713450292397675,31.50257089997373,20170103,华谊兄弟
300033.SZ,300033,SZ,55.68,56.96,58.66,55.28,2.2988505747126458,102.97428408495743,20170103,同花顺
000935.SZ,000935,SZ,20.13,19.83,20.57,19.78,-1.4903129657228054,-50.22618756755922,20170103,四川双马
000909.SZ,000909,SZ,12.4,12.55,12.65,12.37,1.2096774193548416,10.752823942735278,20170103,ST数源
002878.SZ,002878,SZ,43.24,45.44,49.61,42.86,5.087881591119324,97.53981699365183,20170606,元隆雅图
002893.SZ,002893,SZ,32.61,31.9,33.95,31.8,-2.1772462434835966,1.1236822443089667,20170915,京能热力
002139.SZ,002139,SZ,12.95,13.9,14.2,12.74,7.335907335907345,71.00208083483204,20170103,拓邦股份
002887.SZ,002887,SZ,88.0,91.15,92.79,87.28,3.579545454545461,62.189128575185336,20170801,绿茵生态
000048.SZ,000048,SZ,23.95,23.78,24.07,23.67,-0.7098121085594913,-40.34078013932019,20170301,京基智农
002677.SZ,002677,SZ,17.78,17.93,18.16,17.38,0.8436445444319379,-18.208075453435775,20170103,浙江美大
000060.SZ,000060,SZ,11.03,10.8,11.09,10.77,-2.085222121486842,1.7208498939531243,20170103,中金岭南
002111.SZ,002111,SZ,16.9,16.86,17.21,16.72,-0.23668639053253934,3.1558461357965486,20170103,威海广泰
002105.SZ,002105,SZ,7.64,7.63,7.74,7.59,-0.13089005235601817,-42.782031444008666,20170103,信隆健康
000712.SZ,000712,SZ,19.41,19.62,20.17,19.26,1.0819165378670832,30.788248859005694,20170103,锦龙股份
002663.SZ,002663,SZ,5.35,5.52,5.58,5.31,3.1775700934579425,58.762312256781854,20170103,普邦股份
300635.SZ,300635,SZ,26.66,26.25,27.44,26.07,-1.53788447111778,-21.45213435748686,20170331,中达安
300153.SZ,300153,SZ,14.93,15.08,15.48,14.85,1.0046885465505717,-2.310015908484726,20170103,科泰电源
300147.SZ,300147,SZ,9.4,9.43,9.51,9.35,0.31914893617020595,-47.755529066832345,20170103,ST香雪
300621.SZ,300621,SZ,23.21,23.35,23.5,22.91,0.6031882809134018,5.2399885620223765,20170316,维业股份
300609.SZ,300609,SZ,44.46,44.78,45.68,43.24,0.7197480881691415,20.34106615348015,20170215,汇纳科技
000869.SZ,000869,SZ,38.22,38.64,38.93,37.63,1.0989010989011034,-31.35926427408216,20170103,张  裕Ａ
002059.SZ,002059,SZ,8.41,8.45,8.72,8.38,0.4756242568370886,-0.2993324249018342,20170103,云南旅游
300190.SZ,300190,SZ,14.74,14.43,14.8,14.36,-2.103120759837181,-19.711581115320666,20170103,维尔利
000882.SZ,000882,SZ,3.31,3.31,3.34,3.3,0.0,-24.021514236453378,20170103,华联股份
300184.SZ,300184,SZ,12.97,13.31,13.39,12.91,2.6214340786430212,-39.52634505204114,20170105,力源信息
002703.SZ,002703,SZ,9.5,10.14,10.34,9.22,6.736842105263163,17.552077160283023,20170103,浙江世宝
000672.SZ,000672,SZ,10.16,9.86,10.14,9.86,-2.9527559055118178,-40.42324574276016,20170103,上峰水泥
002065.SZ,002065,SZ,9.78,10.11,10.17,9.74,3.3742331288343563,6.0013423390216944,20170103,东华软件
000100.SZ,000100,SZ,4.8,4.98,5.14,4.72,3.750000000000013,29.05126722207829,20170103,TCL科技
002717.SZ,002717,SZ,27.53,26.83,27.97,26.69,-2.5426807119506094,-10.703681799134543,20170103,ST岭南
300351.SZ,300351,SZ,18.73,18.08,18.7,18.01,-3.470368392952494,-45.59713729789179,20170103,永贵电器
002298.SZ,002298,SZ,10.14,10.21,10.33,10.1,0.6903353057199239,19.819399188697055,20170103,中电鑫龙
300423.SZ,300423,SZ,27.9,28.47,28.9,27.6,2.0430107526881733,-66.7184266395291,20170103,昇辉科技
300345.SZ,300345,SZ,6.56,6.56,6.66,6.51,0.0,-25.51260240107987,20170103,华民股份
002529.SZ,002529,SZ,16.89,16.96,17.36,16.77,0.4144464179988175,-3.8024431243720014,20170103,*ST海源
300386.SZ,300386,SZ,16.44,17.06,17.71,16.31,3.77128953771288,64.61142219551587,20170103,飞天诚信
002267.SZ,002267,SZ,8.3,8.24,8.39,8.22,-0.7228915662650661,12.109308221178102,20170103,陕天然气
002501.SZ,002501,SZ,10.27,10.27,10.38,10.22,0.0,-15.458863140648083,20170103,利源股份
002515.SZ,002515,SZ,9.15,9.03,9.16,8.94,-1.3114754098360764,-13.032770356246376,20170103,金字火腿
002273.SZ,002273,SZ,27.65,30.51,30.75,26.95,10.34358047016276,67.45367820513206,20170103,水晶光电
002514.SZ,002514,SZ,8.48,8.16,8.55,8.05,-3.7735849056603805,-7.667972969974704,20170103,宝馨科技
002272.SZ,002272,SZ,6.36,6.44,6.93,6.26,1.2578616352201268,183.71592690312468,20170103,川润股份
002266.SZ,002266,SZ,4.58,4.61,4.63,4.53,0.6550218340611408,-11.158095520061448,20170103,浙富控股
002500.SZ,002500,SZ,10.11,10.4,10.5,10.04,2.868447082096943,36.471695635332104,20170103,山西证券
002528.SZ,002528,SZ,5.92,5.7,5.93,5.67,-3.7162162162162122,51.5248146152319,20170103,ST英飞拓
300387.SZ,300387,SZ,18.16,18.29,18.51,18.1,0.715859030836999,-15.40905825866696,20170103,富邦科技
300393.SZ,300393,SZ,43.98,46.65,47.39,43.46,6.070941336971355,86.68804973248851,20170103,中来股份
300378.SZ,300378,SZ,15.49,15.68,15.88,15.42,1.2265978050355035,12.41241920370709,20170103,鼎捷数智
300422.SZ,300422,SZ,17.88,17.61,18.34,17.59,-1.5100671140939574,-13.75383790696719,20170103,博世科
300344.SZ,300344,SZ,12.21,12.11,12.43,12.08,-0.8190008190008307,-14.673451124397996,20170103,*ST立方
002299.SZ,002299,SZ,14.38,14.54,14.73,14.36,1.1126564673157047,-28.02925318899917,20170103,圣农发展
300350.SZ,300350,SZ,10.86,10.81,11.15,10.75,-0.46040515653774344,-3.7473969767609847,20170103,华鹏飞
300436.SZ,300436,SZ,40.81,39.72,41.55,39.68,-2.6709139916687166,5.442219549761811,20170103,广生堂
002716.SZ,002716,SZ,19.1,18.73,19.16,18.72,-1.937172774869115,-38.618741567928595,20170103,湖南白银
002702.SZ,002702,SZ,6.16,6.2,6.45,6.13,0.6493506493506499,15.176142107752858,20170103,海欣食品
002064.SZ,002064,SZ,4.96,5.02,5.06,4.94,1.209677419354831,-35.87972869316576,20170103,华峰化学
300185.SZ,300185,SZ,2.61,2.6,2.62,2.58,-0.38314176245209913,5.5553670188582664,20170103,通裕重工
000883.SZ,000883,SZ,4.91,4.88,4.95,4.87,-0.6109979633401272,-22.63922487518245,20170103,湖北能源
000897.SZ,000897,SZ,4.08,4.05,4.13,4.04,-0.7352941176470649,-16.81469950972034,20170103,津滨发展
300191.SZ,300191,SZ,26.88,26.43,27.49,26.08,-1.6741071428571404,4.6084725637759565,20170103,潜能恒信
002058.SZ,002058,SZ,19.8,19.41,20.15,19.35,-1.9696969696969726,61.993092865357156,20170103,*ST威尔
